Wk,Day,Family,OT1,OT2,OT3,Full OT,Psalms,NT
,Tue,Acts 17,Joshua 16,Isaiah 63,Daniel 12,Jeremiah 13-15,84-85,Hebrews 5
,Wed,Acts 18,Joshua 17,Isaiah 64,,Jeremiah 16-18,86,Hebrews 6
,Thu,Acts 19,Joshua 18,Isaiah 65,,Jeremiah 19-21,87,Hebrews 7
,Fri,Acts 20,Joshua 19,Isaiah 66,,Jeremiah 22-24,88,Hebrews 8
,,,,,,,,
42,Mon,Ephesians 1,Joshua 20,2 Kings 21,Ezra 1,Jeremiah 25-27,89,Hebrews 9
,Tue,Ephesians 2,Joshua 21,2 Kings 22,Ezra 2,Jeremiah 28-30,90,Hebrews 10
,Wed,Ephesians 3,Joshua 22,2 Kings 23,Ezra 3,Jeremiah 31-33,91,Hebrews 11
,Thu,Ephesians 4,Joshua 23,2 Kings 24,Ezra 4,Jeremiah 34-36,92-93,Hebrews 12
,Fri,Ephesians 5,Joshua 24,Nahum 1,Ezra 5,Jeremiah 37-39,94,Hebrews 13
,,,,,,,,
43,Mon,Ephesians 6,Judges 1,Nahum 2,Ezra 6,Jeremiah 40-42,95,John 1
,Tue,Romans 1,Judges 2,Nahum 3,Ezra 7,Jeremiah 43-45,96,John 2
,Wed,Romans 2,Judges 3,Habakkuk 1,Ezra 8,Jeremiah 46-48,97,John 3
,Thu,Romans 3,Judges 4,Habakkuk 2,Ezra 9,Jeremiah 49-52,98,John 4
,Fri,Romans 4,Judges 5,Habakkuk 3,Ezra 10,Lamentations 1-2,99-100,John 5
,,,,,,,,
44,Mon,Romans 5,Judges 6,Zephaniah 1,Nehemiah 1,Lamentations 3-5,101-102,John 6
,Tue,Romans 6,Judges 7-8,Zephaniah 2,Nehemiah 2,Ezekiel 1-3,103,John 7
,Wed,Romans 7,Judges 9,Zephaniah 3,Nehemiah 3,Ezekiel 4-6,104,John 8
,Thu,Romans 8,Judges 10,2 Kings 25,Nehemiah 4,Ezekiel 7-9,105,John 9
,Fri,Romans 9,Judges 11,Job 1-2,Nehemiah 5,Ezekiel 10-12,106,John 10
,,,,,,,,
45,Mon,Romans 10,Judges 12,Job 3,Nehemiah 6,Ezekiel 13-15,107,John 11
,Tue,Romans 11,Judges 13-14,Job 4,Nehemiah 7,Ezekiel 16-18,108,John 12
,Wed,Romans 12,Judges 15,Job 5,Nehemiah 8,Ezekiel 19-21,109,John 13
,Thu,Romans 13,Judges 16,Job 6,Nehemiah 9,Ezekiel 22-24,110,John 14
,Fri,Romans 14,Judges 17,Job 7,Nehemiah 10,Ezekiel 25-27,111-112,John 15
,,,,,,,,
46,Mon,Romans 15,Judges 18,Job 8,Nehemiah 11,Ezekiel 28-30,113,John 16
,Tue,Romans 16,Judges 19,Job 9,Nehemiah 12,Ezekiel 31-33,114,John 17
,Wed,1 Peter 1,Judges 20-21,Job 10,Nehemiah 13,Ezekiel 34-36,115,John 18
,Thu,1 Peter 2,Ruth 1,Job 11,Haggai 1,Ezekiel 37-39,116-117,John 19
,Fri,1 Peter 3,Ruth 2,Job 12,Haggai 2,Ezekiel 40-42,118,John 20
,,,,,,,,
47,Mon,1 Peter 4,Ruth 3,Job 13,Zechariah 1,Ezekiel 43-45,119,John 21
,Tue,1 Peter 5,Ruth 4,Job 14,Zechariah 2,Ezekiel 46-48,119,1 John 1
,Wed,Hebrews 1,1 Samuel 1,Job 15,Zechariah 3,Daniel 1-3,119,1 John 2
,Thu,Hebrews 2,1 Samuel 2,Job 16,Zechariah 4,Daniel 4-6,119,1 John 3
,Fri,Hebrews 3,1 Samuel 3,Job 17,Zechariah 5,Daniel 7-9,119,1 John 4
,,,,,,,,
48,Mon,Hebrews 4,1 Samuel 4,Job 18,Zechariah 6,Daniel 10-12,120-121,1 John 5
,Tue,Hebrews 5,1 Samuel 5,Job 19,Zechariah 7,Hosea 1-4,122,2 John 1
,Wed,Hebrews 6,1 Samuel 6,Job 20,Zechariah 8,Hosea 5-7,123,3 John 1
,Thu,Hebrews 7,1 Samuel 7,Job 21,Zechariah 9,Hosea 8-10,124,Revelation 1
,Fri,Hebrews 8,1 Samuel 8,Job 22,Zechariah 10,Hosea 11-14,125-126,Revelation 2
